table_name,table_schema,table_size,indexes_size,total_size
"pg_catalog"."pg_replication_slots",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_database",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_database_conflicts",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_user_functions",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_xact_user_functions",pg_catalog,0 bytes,0 bytes,0 bytes
"pg_catalog"."pg_stat_archiver",pg_catalog,0 bytes,0 bytes,0 bytes
"information_schema"."information_schema_catalog_name",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."check_constraint_routine_usage",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."applicable_roles",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."administrable_role_authorizations",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."collation_character_set_applicability",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."attributes",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."check_constraints",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."character_sets",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."collations",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."column_domain_usage",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."column_column_usage",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."column_privileges",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."column_udt_usage",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."columns",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."constraint_column_usage",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."schemata",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."constraint_table_usage",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."domain_constraints",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."domain_udt_usage",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."sequences",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."domains",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."enabled_roles",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."key_column_usage",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."parameters",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."referential_constraints",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."role_column_grants",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."routine_privileges",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."role_routine_grants",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."routines",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."table_constraints",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."table_privileges",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."role_table_grants",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."views",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."tables",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."transforms",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."triggered_update_columns",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."_pg_foreign_servers",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."triggers",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."data_type_privileges",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."udt_privileges",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."role_udt_grants",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."usage_privileges",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."element_types",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."role_usage_grants",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."user_defined_types",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."_pg_foreign_table_columns",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."view_column_usage",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."view_routine_usage",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."view_table_usage",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."foreign_server_options",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."column_options",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."_pg_foreign_data_wrappers",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."foreign_data_wrapper_options",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."foreign_tables",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."foreign_data_wrappers",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."foreign_servers",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."_pg_foreign_tables",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."foreign_table_options",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."_pg_user_mappings",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."user_mappings",information_schema,0 bytes,0 bytes,0 bytes
"information_schema"."user_mapping_options",information_schema,0 bytes,0 bytes,0 bytes
(265 rows)
